iter	Logloss
237	0.2243128721
238	0.2243120339
239	0.224143995
240	0.2240813792
241	0.2240402089
242	0.2240196915
243	0.2240160269
244	0.2239904439
245	0.2239346507
246	0.2239302969
247	0.2238354375
248	0.2237080746
249	0.2235974508
250	0.2234668578
251	0.2234072038
252	0.2233954206
253	0.2233278138
254	0.2232072599
255	0.2230049897
256	0.2230041804
257	0.2228910121
258	0.222845624
259	0.2227958386
260	0.2227426265
261	0.2226974962
262	0.2226688336
263	0.2226635215
264	0.2226632324
265	0.2225915959
266	0.2225743734
267	0.2225140845
268	0.2224552981
269	0.2224368871
270	0.222281092
271	0.2221462933
272	0.2221441289
273	0.2220898103
274	0.2219632791
275	0.2219536616
276	0.2219431254
277	0.2218878204
278	0.221837269
279	0.2218369514
280	0.2218207595
281	0.2218096346
282	0.2217956681
283	0.2217518114
284	0.2216981538
285	0.2215606116
286	0.2215367503
287	0.2214503266
288	0.2213870433
289	0.2213593272
290	0.2212824878
291	0.221216832
292	0.2211990666
293	0.2211154991
294	0.2211008383
295	0.2210921774
296	0.2210439554
297	0.2209747558
298	0.2207973036
299	0.2207517916
300	0.2205551785
301	0.220519054
302	0.220506603
303	0.2204450621
304	0.2204077104
305	0.2202888706
306	0.2201950451
307	0.2200080706
308	0.2198491526
309	0.2198475278
310	0.2197385354
311	0.2196428164
312	0.2196132167
313	0.2195991998
314	0.21958549
315	0.2195839687
316	0.2195795866
317	0.2195064023
318	0.219503896
319	0.2194826957
320	0.2194675247
321	0.2194462316
322	0.2193129251
323	0.2193085617
324	0.2191813633
325	0.2190474661
326	0.219026975
327	0.2190049884
328	0.2189268615
329	0.2189253104
330	0.218915025
331	0.2189013331
332	0.2188478694
333	0.2188460734
334	0.2188448847
335	0.2188427012
336	0.2186983034
337	0.2185998851
338	0.2185694428
339	0.2185101546
340	0.2183666657
341	0.2182954896
342	0.2181861066
343	0.2181479154
344	0.2181309804
345	0.21813021
346	0.2181075823
347	0.2180152438
348	0.2180005532
349	0.2179866462
350	0.2178630909
351	0.2178148503
352	0.2177897761
353	0.217787082
354	0.217781697
355	0.2176667364
356	0.2176572934
357	0.2176526967
358	0.2176421906
359	0.2175371674
360	0.2174843563
361	0.2174478363
362	0.2174390456
363	0.2174381852
364	0.2173944501
365	0.2173767352
366	0.2173263414
367	0.2172881582
368	0.2172851397
369	0.2172783785
370	0.2172451779
371	0.2171914882
372	0.2171604211
373	0.2170968896
374	0.2170625135
375	0.2170569363
376	0.2170534074
377	0.2170351173
378	0.2168713558
379	0.2168701824
380	0.2168551586
381	0.2168340028
382	0.2168012527
383	0.2167999252
384	0.2167147671
385	0.2166999763
386	0.2166944378
387	0.2166812456
388	0.2166027661
389	0.2164873954
390	0.2164492004
391	0.2164402807
392	0.2163487861
393	0.2163449457
394	0.2163067733
395	0.2162758989
396	0.216267936
397	0.216266541
398	0.2162648388
399	0.2162596992
